word1	word2	word3	word4
sib	tshum	sib	nkaug
ib	txheej	ib	phaum
muaj	kab	muaj	kev
sib	nug	sib	teb
ua	kab	ua	kev
tuaj	txhawb	tuaj	koom
tau	teb	tau	chaw
lwg	noj	lwg	haus
lub	nkaub	lub	ntsiab
sib	txeeb	sib	ceg
rov	qab	rov	quav
siab	tshiab	siab	zoo
sib	koom	sib	pab
koj	hais	koj	hu
txoj	pa	txoj	siav
nrus	roj	nrus	ntshav
hnab	ris	hnab	tsho
txawj	yaj	txawj	nkaum
suab	luj	suab	yau
le	ub	le	nuav
xws	teb	xws	chaw
puag	cuab	puag	yim
le	dlev	le	npua
tuaj	qeeb	tuaj	lig
siab	loj	siab	tawv
ua	nkauj	ua	nraug
ua	dev	ua	npua
luag	khaiv	luag	khoo
tso	ntau	tso	tsawg
ua	quav	ua	zis
tej	kwv	tej	tij
ib	cuab	ib	yim
tsa	cuab	tsa	yim
kwv	tij	kwv	npawg
kuv	niam	kuv	txiv
koom	zej	koom	zos
ob	hnub	ob	hmo
sib	nyiam	sib	hlub
tso	tes	tso	taw
yus	nyiam	yus	hlub
pob	zeb	pob	ntoos
chaw	noj	chaw	haus
plig	nyiaj	plig	kub
txwv	zeej	txwv	txoob
cai	pab	cai	pawg
cai	xeem	cai	neeg
yuav	ntsej	yuav	muag
poob	ntsej	poob	muag
thoob	zej	thoob	zos
nrhiav	ntaub	nrhiav	ntawv
muaj	pab	muaj	pawg
sib	txib	sib	hu
ua	sab	ua	sua
thov	nyiaj	thov	txiaj
nyuag	ntaub	nyuag	ntawv
tw	vaj	tw	tsev
kub	tes	kub	taw
yuav	tib	yuav	thuam
mab	dub	mab	doog
ciaj	nom	ciaj	tswv
sib	ntxub	sib	cais
pem	roob	pem	hav
thov	ntuj	thov	dab
muab	mab	muab	suav
zoo	noj	zoo	hnav
hmoob	cem	hmoob	thuam
txog	caij	txog	nyoog
mus	ub	mus	no
mob	siab	mob	ntsws
moob	sib	moob	ntsuab
tau	poj	tau	yawm
cov	ntxhais	cov	vauv
mob	ciaj	mob	tuag
dhau	caij	dhau	nyoog
puv	caij	puv	nyoog
ntshai	dua	ntshai	dab
siab	hlub	siab	nyiam
lub	cev	lub	siab
kev	plees	kev	yi
hauv	paug	hauv	ntsis
lug	fuab	lug	cua
siab	ncaj	siab	zoo
yug	zaub	yug	mov
tsov	txwj	tsov	laus
ncig	vaj	ncig	tsev
plhaw	tod	plhaw	ped
tsis	txhawj	tsis	ntshai
yuav	khawm	yuav	puag
tua	kab	tua	nroj
ntau	leej	ntau	tus
dawm	tes	dawm	taw
npaum	ub	npaum	nuav
cov	siab	cov	ntsws
cov	niam	cov	txiv
nyias	kwv	nyias	tij
sib	paab	sib	txhawb
kav	teb	kav	chaw
qub	teb	qub	chaw
tsham	kwv	tsham	tij
koom	teb	koom	chaw
ua	neej	ua	tsa
hmoob	nyob	hmoob	sib
xav	neej	xav	tsav
ua	phaub	ua	ntug
tub	nom	tub	tswv
tog	vaaj	tog	tsev
sib	khawm	sib	hnias
coj	noj	coj	haus
tu	vaj	tu	tsev
ua	qoj	ua	qag
raug	ntsej	raug	muag
tau	koob	tau	npe
muag	noj	muag	haus
sib	ntaus	sib	tua
raug	txim	raug	kaw
tau	ntsib	tau	pom
npaum	ub	npaum	nua
teev	dab	teev	qhua
ib	txhiab	ib	txhis
pom	ub	pom	no
neeg	txheeb	neeg	ze
nws	niam	nws	txiv
qhov	yog	qhov	zoo
kev	lig	kev	cai
khoom	vaj	khoom	tsev
ntau	tsaav	ntau	yaam
ncig	ntuj	ncig	teb
ncej	tooj	ncej	hlau
piav	mus	piav	los
muaj	ntsej	muaj	muag
khu	vaaj	khu	tsev
tsis	txob	tsis	txhawj
puv	teb	puv	chaw
koob	noj	koob	haus
ib	leej	ib	tug
tub	mab	tub	qhe
tsis	dawb	tsis	huv
dag	mus	dag	los
tej	tub	tej	kiv
muaj	suab	muaj	npe
tog	khaub	tog	tsuag
tej	zaub	tej	mov
qub	teej	qub	teg
tej	qub	tej	tshiab
has	ub	has	nua
xub	zeb	xub	caa
cov	roj	cov	ntshav
tsi	deb	tsi	ze
txhav	nraj	txhav	nrees
tub	txib	tub	khaiv
muab	teb	muab	chaw
lus	mog	lus	muag
paim	qaab	paim	quav
peb	hnub	peb	hmo
lawv	niam	lawv	txiv
tsev	ploj	tsev	tuag
thiaj	yog	thiaj	raug
tsev	noj	tsev	haus
ntes	ploj	ntes	tuag
txiv	qeej	txiv	nruas
muaj	cuab	muaj	yim
hauv	dej	hauv	num
tag	zaj	tag	zos
txij	taug	txij	peg
tug	hlub	tug	yau
txhua	hnub	txhua	hmo
nug	mus	nug	los
coj	dab	coj	qhua
ntawv	noj	ntawv	haus
nyias	siab	nyias	ntsws
paub	phem	paub	zoo
tej	vaj	tej	tsev
tim	thaib	tim	nplog
tus	txheeb	tus	ze
nyias	vaj	nyias	tsev
nyias	zej	nyias	zos
mus	vaj	mus	tsev
tau	vaj	tau	tsev
tau	liaj	tau	teb
mus	haub	mus	ntxias
raws	teb	raws	chaw
nqa	xyab	nqa	ntawv
mus	thov	mus	pe
nqa	dej	nqa	cawv
tuaj	thov	tuaj	pe
sib	hlub	sib	nco
tuaj	haub	tuaj	ntxias
siv	hmab	siv	hlua
los	cuab	los	khi
ntug	zej	ntug	zos
siab	dav	siab	zoo
leej	niam	leej	txiv
nrog	niam	nrog	txiv
khwv	nyiaj	khwv	txiaj
paub	qaab	paub	hau
cov	laus	cov	hluas
lus	txawj	lus	ntse
siv	riam	siv	ntaj
hniav	riam	hniav	ntaj
txhia	leej	txhia	tus
muaj	caub	muaj	chim
kaus	tauj	kaus	nqeeb
ntshav	ntsej	ntshav	ntswg
tiag	tes	tiag	taw
tuav	riam	tuav	phom
muaj	kwv	muaj	tij
yus	niam	yus	txiv
noj	mus	noj	los
kes	tes	kes	taw
luag	ntes	luag	khi
poob	nyiaj	poob	txiaj
lug	paaj	lug	cua
moog	ncaaj	moog	ncees
qas	hmoob	qas	nplog
sib	ntaus	sib	tog
sib	ceg	sib	ntaus
dhau	kev	dhau	cai
cais	pab	cais	pawg
muaj	qab	muaj	quag
yam	zoo	yam	phem
sib	hlub	sib	txhawb
yaam	phem	yaam	zoo
hla	roob	hla	hav
tsis	pom	tsis	paub
hmoob	ub	hmoob	no
vwm	loj	vwm	leg
sib	tua	sib	ntaus
ntsuag	xyoob	ntsuag	ntoo
luag	zej	luag	zos
kam	teb	kam	chaw
caum	noj	caum	haus
yuav	vaj	yuav	tsev
xam	luaj	xam	phaj
tsis	meej	tsis	pem
tau	nom	tau	tswv
pab	ub	pab	no
cov	tub	cov	ntxhais
poob	nom	poob	tswv
sib	npuav	sib	hnia
laib	laus	laib	hluas
ntxias	noj	ntxias	qhe
khwv	ciaj	khwv	tuag
nqaij	txhiab	nqaij	ci
noj	mij	noj	qe
hlua	nkauj	hlua	nraug
tej	tub	tej	ki
hais	txhij	hais	txhua
dag	nom	dag	tswv
nyias	kab	nyias	kev
noob	ntaub	noob	ntawv
muaj	qib	muaj	duas
kuv	pog	kuv	yawg
qub	vaj	qub	tsev
yuav	ciaj	yuav	tuag
tsheej	hnub	tsheej	hmo
kawg	siab	kawg	plawv
nquam	paj	nquam	duas
ua	dlog	ua	dlig
tu	ncaab	tu	ncua
tus	kwv	tus	tij
nco	txiaj	nco	ntsim
rau	thaib	rau	nplog
txij	qab	txij	de
paub	ub	paub	no
tau	siab	tau	qis
tsov	tshaib	tsov	tsau
miv	kaab	miv	noog
muaj	taus	muaj	txua
sib	tshom	sib	nkaug
pom	txhij	pom	txhua
vwm	nom	vwm	tswv
luag	num	luag	tswv
nyob	noj	nyob	haus
nyiaj	hnub	nyiaj	hli
thuam	ub	thuam	no
raws	noj	raws	haus
tib	pab	tib	pawg
ntau	tsav	ntau	yam
raug	ntes	raug	kaw
raug	txim	raug	thuv
ua	phooj	ua	ywg
nchav	teb	nchav	chaw
tsis	paus	tsis	ntsis
kom	ncauj	kom	lu
tswv	liaj	tswv	av
txiv	xyoob	txiv	ntoo
yog	dag	yog	tiag
tas	niaj	tas	xyoo
ua	dej	ua	num
noj	txhij	noj	txhua
zoo	vaaj	zoo	tsev
tej	vaaj	tej	tsev
tej	pog	tej	yawg
puab	rooj	puab	ntsa
lug	vaaj	lug	tsev
neeg	mob	neeg	tuag
neeg	mob	neeg	nkees
xaav	mob	xaav	tuag
nej	zej	nej	zos
taum	qej	taum	mog
muaj	noj	muaj	naav
txob	noj	txob	haus
zais	ruj	zais	neev
tub	sab	tub	nyiag
kev	phem	kev	qias
cov	txheeb	cov	ze
nws	pog	nws	yawg
dab	niam	dab	txiv
dab	pog	dab	yawg
ua	dab	ua	qhua
dab	teb	dab	chaw
ua	neeb	ua	yais
tsheej	niaj	tsheej	xyoo
teev	puj	teev	yawm
koj	nam	koj	txiv
laig	niam	laig	txiv
los	haub	los	ntxias
tau	kwv	tau	tij
ua	lib	ua	lob
xa	xov	xa	moo
tsheej	roob	tsheej	hav
kuv	tham	kuv	hais
piv	dab	piv	tsov
mlom	tooj	mlom	hlau
pe	dab	pe	mlom
hauv	ntaub	hauv	ntawv
tsi	chim	tsi	ntxub
cai	zaub	cai	mov
yeej	paub	yeej	pom
yuav	cem	yuav	hais
txhua	leej	txhua	tug
cuag	puj	cuag	yawm
yuav	nyiaj	yuav	txiaj
lub	sab	lub	ntswg
nqa	hneev	nqa	xub
mus	mus	mus	los
ntxhais	nom	ntxhais	tswv
poj	nrauj	poj	fa
koj	kwv	koj	tij
kuv	kwv	kuv	tij
hauv	paus	hauv	ntsis
koj	vaj	koj	tsev
luag	noj	luag	haus
xiam	hlwb	xiam	ceg
tsheej	phab	tsheej	pheem
sib	ntsib	sib	tawb
ntaus	pab	ntaus	pawg
tuag	dawb	tuag	do
faib	liaj	faib	av
sib	roj	sib	law
tsis	txheeb	tsis	ze
tawg	pab	tawg	pawg
noog	mus	noog	los
luag	rooj	luag	ntsa
yus	poj	yus	yawm
sau	siab	sau	ntsws
dej	siab	dej	ntsws
txiv	neeb	txiv	yaig
tsum	kev	tsum	cai
nqis	toj	nqis	taug
tus	txiaj	tus	ntsim
chaw	txib	chaw	khaiv
nqee	ntsuj	nqee	hlauv
pwj	tsiaj	pwj	txhu
ntsuj	duab	ntsuj	plig
yeej	koob	yeej	huam
txawb	koob	txawb	hmoov
muaj	nuj	muaj	nqi
tsaug	nqaij	tsaug	mov
muab	tsiaj	muab	txhuv
xiam	nyiaj	xiam	txiaj
tua	nyuj	tua	twm
ncig	teb	ncig	chaw
siv	nyiaj	siv	txiaj
plis	mus	plis	los
muaj	tseeb	muaj	tsum
nplooj	hmab	nplooj	ntoo
ua	siv	ua	npog
tes	qav	tes	num
kauv	tes	kauv	taw
pauv	ub	pauv	no
nrog	huab	nrog	cua
qhov	riam	qhov	phom
nrog	liab	nrog	cuam
keeb	ub	keeb	no
tus	phem	tus	zoo
xa	zaub	xa	mov
tag	siab	tag	ntsws
tuaj	txog	tuaj	ntsib
ua	ntej	ua	qab
sib	daj	sib	deev
coj	teb	coj	chaw
lawv	qaib	lawv	npua
muaj	keeb	muaj	kwm
lwm	teb	lwm	chaw
npe	nom	npe	tswv
niam	hlob	niam	yau
sib	cav	sib	cais
them	roj	them	ntshav
sib	tog	sib	ceg
hwm	niam	hwm	txiv
qhov	siab	qhov	qis
muaj	niam	muaj	txiv
sib	saib	sib	xyuas
thoob	roob	thoob	hav
sau	lwj	sau	liam
qab	zeb	qab	tsua
nrhav	noj	nrhav	haus
haav	zoov	haav	tsuag
lov	tes	lov	taw
pob	zeb	pob	tsua
zaub	nyuj	zaub	npua
sib	pom	sib	paub
nti	ciaj	nti	tuag
qhov	zeb	qhov	av
cua	daj	cua	dub
kev	lwj	kev	aws
tuav	tes	tuav	taw
hais	siab	hais	qis
hais	siab	hais	nqi
txhuas	leej	txhuas	tus
lus	zej	lus	zos
txog	vaj	txog	tsev
paub	qab	paub	hau
ib	txheej	ib	tiam
tsis	ciav	tsis	cai
yus	dab	yus	qhua
nywj	plaub	nywj	ntug
lawv	dab	lawv	qhua
lawv	vaj	lawv	tsev
nkauj	huab	nkauj	cua
kom	ruaj	kom	khov
ci	zeb	ci	tsua
txam	txhij	txam	txhua
tsi	paub	tsi	pom
has	yaaj	has	yeeb
has	sab	has	qes
sab	ncaaj	sab	zoo
luag	txuj	luag	ci
tas	niaj	tas	hnub
hmoob	roj	hmoob	ntshav
tseem	hmov	tseem	tshua
ntau	txheej	ntau	ntsig
vuag	toj	vuag	pes
ua	vij	ua	voog
tau	zeb	tau	tsua
siv	qeej	siv	nruas
ua	pag	ua	xau
tsis	txawj	tsis	ntse
yug	nyuj	yug	nees
piav	txhij	piav	txhua
daus	xib	daus	npu
dej	liab	dej	ntsuab
tsho	tswj	tsho	npuag
tham	txhij	tham	txhua
ua	tsiaj	ua	txhuv
tseem	niam	tseem	txiv
has	moog	has	lug
puab	puj	puab	yawm
noj	lwj	noj	liam
ua	zej	ua	zos
yoo	tshaib	yoo	nqe
sib	hlub	sib	paab
tsis	paub	tsis	pum
kev	txheeb	kev	ze
pom	dhuav	pom	txaus
kev	plas	kev	pluag
saib	qab	saib	hauv
lub	pob	lub	cos
ntsim	siab	ntsim	plawv
nram	ntej	nram	qab
ua	nam	ua	txiv
sib	coj	sib	yoog
xab	xeeb	xab	xaws
cawv	ntuj	cawv	duab
kaum	roob	kaum	hav
txiab	tooj	txiab	hlau
tsog	lej	tsog	laus
sib	ntau	sib	tua
qhov	roob	qhov	hav
hav	dej	hav	dawm
kua	tooj	kua	hlau
pam	neej	pam	dab
dua	xyab	dua	ntawv
dua	dej	dua	cawv
sib	cav	sib	hais
xya	niaj	xya	xyoo
qe	tooj	qe	hlau
zuag	ntuj	zuag	teb
vuag	ntuj	vuag	teb
dawm	zeb	dawm	tsua
vij	mob	vij	nkees
sub	dub	sub	doog
lees	ua	lees	tu
neeg	dawb	neeg	huv
tsis	deb	tsis	ze
sab	khwb	sab	ntxeev
qeej	tshoob	qeej	kos
phem	tes	phem	taw
ua	ncaj	ua	ncees
siab	dawb	siab	huv
vij	sub	vij	npog
muaj	mob	muaj	tuag
tej	plaub	tej	ntug
tis	tshoob	tis	kos
rab	hneev	rab	phom
los	coj	los	ua
ntau	yam	ntau	tsav
ua	yeej	ua	swb
rau	ped	rau	nrad
sib	ntsib	sib	thaam
lub	sab	lub	plawv
txheeb	neej	txheeb	tsaav
tu	qab	tu	twv
phem	ntuj	phem	teb
noj	tshoob	noj	kos
ncig	mus	ncig	los
txob	plaub	txob	ntug
